note_id,#diary_id,#author_id,#note_date,#people
"181352",#"859",#"849",#"1827-05-09",#"жакемонди->1,шампаня->1,шалон->2,силлери->1"
"181353",#"859",#"849",#"1827-05-10",#"лудвиг->2,генрих->1,юлий кесарь->1"
"181354",#"859",#"849",#"1827-05-11",#"вилья->1,франциск первый->1,бонапарт->1,боргера->1,массоль->1,нуррита->1,монтеся->1"
"181355",#"859",#"849",#"1827-05-12",#"мериана->1,гизот->2"
"181356",#"859",#"849",#"1827-05-13",#"свечина->1,голицына->1,ришар->1,мандрина->2,серж->1,потья->1"
"181357",#"859",#"849",#"1827-05-14",#"тургенев->1,свечин->1,пушкина->1,локаля->1,себастиани->1,вилеля->2,невиль->1,бенжамена->1,фридрих->1,ришар->1,дюшенуа->1,левый->1,оросман->1,орест->1,фаразман->1,белиер->1,отелло->1"
"181358",#"859",#"849",#"1827-05-15",#"бобринская->1,щербатов->1,жоминь->2,вальтер скотт->1"
"181359",#"859",#"849",#"1827-05-16",#"себастиани->2,казимир->1,голицын->1,карета->1"
"181360",#"859",#"849",#"1827-05-17",#"дежерандо->3,кановый->1,тургенев->1,бобринская->1,свечин->1,гранвиль->1,доримона->1,жюльетта->1,эмилий->1"
"181361",#"859",#"849",#"1827-05-18",#"картина->1,жераров->1,дафнис->1,лудвиг->1,лебриенов->1,одри->1,фелисия->1"
"181362",#"859",#"849",#"1827-05-19",#"ришар->1"
"181363",#"859",#"849",#"1827-05-20",#"сергей->1"
"181364",#"859",#"849",#"1827-05-21",#"пушкин->1,николай->1"
"181365",#"859",#"849",#"1827-05-22",#
"181366",#"859",#"849",#"1827-05-23",#"сергей->1,демидов->1,тургенев->1"
"181367",#"859",#"849",#"1827-05-27",#"лудвиг->2,елизавета->1,мария антуанетта->1,тургенев->1,свечин->1"
"181368",#"859",#"849",#"1827-05-28",#"атал->1,давидов->1,брут->2,гораций->1,елена->1,генрих->1,лебриенев->1,вернетов->1,винчи->1"
"181369",#"859",#"849",#"1827-05-29",#"булонской->1"
"181370",#"859",#"849",#"1827-05-30",#"вольтер->3,корнель->1,лафосс->1,родриго->1,мартинья->1,гранвиль бертран->1,демуан->1,люмон графиня->1,жанна->1,жоржетта->1"
"181371",#"859",#"849",#"1827-05-31",#"жерар->1,репнина->1,дюсиса->1,урик->1,жераров->1,бьенемов->1,гектор->1,мария->1,стуарт->1,элеонора->1,дидона->1,ипполит->1,икар->1,мария медицис->1"
"181372",#"859",#"849",#"1827-06-01",#"жуффруа->1"
"181373",#"859",#"849",#"1827-06-02",#"рафаэль->1,георгий->1,бейрон->1,вольтер->1,пётр великий->1,лудвиг->1"
"181374",#"859",#"849",#"1827-06-03",#"лудвиг->1,лафаета->1,ружимона->1"
"181375",#"859",#"849",#"1827-06-04",#
"181376",#"859",#"849",#"1827-06-05",#
"181377",#"859",#"849",#"1827-06-06",#"румянцев->1,соммерар->1"
"181378",#"859",#"849",#"1827-06-07",#"ришар->1,отелло->1,фонтен->1,фридрих->1"
"181379",#"859",#"849",#"1827-06-08",#"карл великий->1,дагоберт->1,александр->1,франциск->1,миро->1,генрих->1,лудвиг->1,вольтер->1"
"181380",#"859",#"849",#"1827-06-09",#"голицына->1,вольтер->1,карл великий->1,лудвиг святой->1,геневьев->1,щербатов->1,шувалов->1"
"181381",#"859",#"849",#"1827-06-10",#"дегера->1,кореф->1,лудвиг->1,генрих->1,трианон->1"
"181382",#"859",#"849",#"1827-06-11",#
"181383",#"859",#"849",#"1827-06-12",#"лудвиг->1,франциск->1,лудвиг святой->1,наполеонов->1,тереза->1"
"181384",#"859",#"849",#"1827-06-13",#"щербатов->1"
"181385",#"859",#"849",#"1827-06-14",#
"181386",#"859",#"849",#"1827-06-15",#"елизавета->1,антуанетта->1,М антуанетта->1,мария антуанетта->1,лавалетта->1"
"181387",#"859",#"849",#"1827-06-16",#"соммерар->2,тициан->1,корреджиев->1,магдалина->1,прадон->1"
"181388",#"859",#"849",#"1827-06-17",#"лудвиг->1,мирабо->1,генрих->1"
"181389",#"859",#"849",#"1827-06-18",#
"181390",#"859",#"849",#"1827-06-19",#
